Smiles,DockingScoreReward,CornealReward,MelaninReward,IrritationReward,Reward,DockingScoreProperty,CornealProperty,MelaninProperty,IrritationProperty,Epoch
O=[SH]c1cc(C(O)F)c(C(C(=O)O)c2ccoc2)cc1C1Nc2ccccc2C2C=CCC21,-0.0,-4.373312287056587,-0.036004066467285156,-0.0716096481287992,-4.480926001652671,0.3,1.1266877129434127,1.0360041,0.028390351871200804,0
CN(C)c1c(NCC=O)c(CC(=O)O)cc(-c2cccc(Cl)c2)c1C1CCCC1O,5.2,-1.810358986371639,-0.01901950836181643,-0.07800475014131582,3.2926167551252292,-5.2,3.689641013628361,0.8809805,0.021995249858684184,0
C=CCOc1ccc(COC)c(C(OC(C)C=O)C(=O)O)c1-c1ccccn1,6.0,-0.0,-0.0,-0.07610676437511357,5.923893235624886,-6.0,5.770885181740079,0.9613891,0.023893235624886437,0
CNC(C)(C)c1cc(CC(=O)O)ccc1C1CNCCC1C#N,6.5,-2.6281562931660285,-0.0,-0.07086172701595009,3.8009819798180215,-6.5,2.8718437068339715,0.9428017,0.02913827298404992,0
Cn1ncc2c1CCCC2c1c(-c2cccc(Cl)c2)cc(C2CCCC2)cc1C(C#N)C(=O)O,-0.0,-2.871050502543951,-0.06730008125305176,-0.07935461599601644,-3.0177051997930193,1.5,2.628949497456049,1.0673001,0.020645384003983563,0
CCN1CC[NH+](NC(=O)Nc2ccc(C(C(=O)O)c3ccccc3N)c(C)c2)CC1,-0.0,-2.3047859466832423,-0.028444552421569846,-0.09071717091854539,-2.4239476700233573,3.2,3.1952140533167577,0.87155545,0.009282829081454613,0
CN(C)CC(=O)c1ccc(C(Nc2ccccc2)C(=O)O)cc1N1CCOCC1,5.3,-0.0,-0.031238794326782227,-0.0742039991724969,5.194557206500721,-5.3,6.536854077704528,1.0312388,0.025796000827503114,0
CC(F)C(=O)C(C)Sc1cc(C#N)c(CC(=O)O)cc1N1CCCC1=O,5.6,-0.30241834389147826,-0.059319937229156516,-0.07456194665972787,5.163699772219637,-5.6,5.197581656108522,0.84068006,0.02543805334027214,0
CN(Cc1ccc(C(C)(C)OC(=O)[O-])c(CC(=O)O)c1)C1CCC(=O)N1,6.6,-2.2526829286820074,-0.0645472049713135,-0.08333013854975108,4.199439727796927,-6.6,3.2473170713179926,0.8354528,0.016669861450248936,0
C=CCOc1cc(-c2ccoc2)c(C(=O)C=O)c(C(C(=O)O)C23CC4CC(CC(C4)C2)C3)c1,1.5,-2.871050502543951,-0.02015852928161621,-0.07561940678384879,-1.4668284386094161,-1.5,2.628949497456049,1.0201585,0.02438059321615121,0
CCSc1cccc(C(OC(F)C(N)=O)C(=O)O)c1S(=O)(=O)c1ccccc1,6.1,-0.0,-0.0,-0.05664838225727898,6.0433516177427204,-6.1,6.017122978126031,0.95081675,0.043351617742721026,0
COCCc1cc(C2CCc3cnn(C)c3C2)cc(CC(=O)O)c1-c1ccc2c(c1)OCC(C1=CC(C(=O)[O-])CC1)O2,-0.0,-1.7314970186313774,-0.12506103515625,-0.08052607327089392,-1.9370841270585213,99.9,3.7685029813686226,1.125061,0.019473926729106087,0
NS(=O)(=O)c1cc(CC(=O)O)c(S(=O)(=O)c2ccc(C3CCCO3)cc2)c(N2CCOCC2)c1,-0.0,-2.4482092916957923,-0.0,-0.06910235383395999,-2.517311645529752,2.8,3.0517907083042077,0.95247483,0.030897646166040016,0
CC(C=O)SOC(C)(C)c1ccc(C#N)c(CC(=O)O)c1C1CCCCCC1,4.7,-3.5904157035261397,-0.10535955429077148,-0.06286646431601159,0.9413582778670774,-4.7,1.90958429647386,1.1053596,0.037133535683988424,0
CNS(=O)(=O)c1ccc(-c2ccc3c(c2)CC[NH2+]C3)c(C(C(=O)O)c2cccc(Cl)c2)c1-c1ccc2cc[nH]c2c1,-0.0,-4.337544695673839,-0.04193093776702883,-0.08374486371788747,-4.463220497158756,24.5,1.1624553043261612,0.85806906,0.016255136282112538,0
O=C(O)Cc1cccc(C2CCC(O)C2)c1C(=NCl)c1ccc2c(c1)OCO2,5.2,-0.31496700323645577,-0.02825608253479006,-0.07862829884061528,4.7781486153881385,-5.2,5.185032996763544,0.8717439,0.02137170115938472,0
CCCNc1cc(C(C(=O)O)C(N)=S)c(NC(C)C)cc1-c1nccs1,4.8,-0.8612702002902966,-0.16147305965423586,-0.07867889363713917,3.6985778464183285,-4.8,4.6387297997097034,0.73852694,0.021321106362860835,0
O=C(O)Cc1cc(Cl)cc(C2CCNCC2Cl)c1C=S,8.1,-0.0,-0.0,-0.06771507628065672,8.032284923719343,-8.1,5.630768775412422,0.94801474,0.032284923719343286,0
CCC(N)C(=O)c1ccc(C)c(C(C(=O)O)S(C)(=O)=O)c1,7.5,-1.1758464657283385,-0.0,-0.05477801893412917,6.269375515337532,-7.5,4.3241535342716615,0.9520099,0.04522198106587084,0
CC(c1cccc(C(C(=O)O)C2CC2)c1C#N)N1CC[NH+](c2c[nH]c3ccccc23)CC1,-0.0,-2.918291037601675,-0.03319108486175537,-0.08529546876557094,-3.0367775912290016,1.0,2.581708962398325,1.0331911,0.014704531234429066,0
CNCC1CS(=O)(=O)CC1c1c(NC(N)=O)cc(CC(=O)O)cc1N1CCOCC1,4.9,-3.286871231981725,-0.0459283232688904,-0.0875634393982268,1.4796370053511583,-4.9,2.213128768018275,0.8540717,0.012436560601773202,0
Cc1ccc(N[SH](=O)=O)c(C2C=CC(C(=O)C#N)C2)c1CC(=O)O,7.4,-2.37838025963551,-0.07572054862976074,-0.05871670462161748,4.887182487113113,-7.4,3.12161974036449,1.0757205,0.041283295378382524,0
CC(C)Cc1cc(NC(N)=O)c(CN[SH](=O)=O)cc1C(CCN1CC[NH2+]CC1)C(=O)O,4.7,-2.8466330884156075,-0.0,-0.08833529879907409,1.7650316127853185,-4.7,2.6533669115843925,0.97287387,0.011664701200925914,0
C#Cc1cc(C2CCN([SH](=O)=O)CC2)c(CC(=O)O)c(CC(C)C)c1Cc1ccccn1,-0.0,-3.1330212620484814,-0.0467531681060791,-0.06126863309820474,-3.241043063252765,10.8,2.3669787379515186,1.0467532,0.03873136690179527,0
CC(CN)c1cc(S(C)(=O)=O)c(CC(=O)O)cc1C1Cc2c(cnn2C)C(C(C)N2CC[NH2+]CC2)C1,-0.0,-3.3073539001559253,-0.0,-0.0877330090155979,-3.3950869091715234,4.3,2.1926460998440747,0.9900439,0.01226699098440211,0
C#CC1CCCCC1c1c(NCCC)cc(CC(=O)O)cc1C1CCS(=O)(=O)C1,3.0,-0.0,-0.0,-0.07247200659041249,2.9275279934095875,-3.0,5.968473519025812,0.9437767,0.02752799340958752,0
CCC(C=O)NNc1ccccc1C(C(=O)O)c1ccc(NC=O)c(C2CCN([SH](=O)=O)CC2)c1,1.6,-1.3543425306736028,-0.08855152130126953,-0.08747915467945326,0.06962679334567452,-1.6,4.145657469326397,1.0885515,0.012520845320546743,0
C#Cc1cc(CC(=O)O)c(-c2ccc3c(c2)CC[NH+](C2CCNCC2)C3)cc1C1CCS(=O)(=O)C1,-0.0,-2.7558283346693044,-0.0,-0.0804713068751573,-2.836299641544462,138.7,2.7441716653306956,0.9898249,0.019528693124842702,0
CC(C=O)Sc1cc(C=O)cc(CCN2CC[NH+](c3ccoc3)CC2)c1CC(=O)O,2.0,-2.0417300461000045,-0.0,-0.08345419131797951,-0.12518423741798404,-2.0,3.4582699538999955,0.93122053,0.016545808682020494,0
CCC(Nc1ccoc1)C(=O)c1cc(CNC=O)c(Cc2ccccn2)c(CC(=O)O)c1,2.6,-2.918291037601675,-0.0,-0.07919343890260669,-0.39748447650428165,-2.6,2.581708962398325,0.9988177,0.020806561097393317,0
