Smiles,DockingScoreReward,Reward,DockingScoreProperty,Epoch
O=[SH]c1cc(C(O)F)c(C(C(=O)O)c2ccoc2)cc1C1Nc2ccccc2C2C=CCC21,6.3,6.3,-6.3,0
CN(C)c1c(NCC=O)c(CC(=O)O)cc(-c2cccc(Cl)c2)c1C1CCCC1O,1.8,1.8,-1.8,0
C=CCOc1ccc(COC)c(C(OC(C)C=O)C(=O)O)c1-c1ccccn1,4.6,4.6,-4.6,0
CNC(C)(C)c1cc(CC(=O)O)ccc1C1CNCCC1C#N,6.2,6.2,-6.2,0
Cn1ncc2c1CCCC2c1c(-c2cccc(Cl)c2)cc(C2CCCC2)cc1C(C#N)C(=O)O,1.6,1.6,-1.6,0
CCN1CC[NH+](NC(=O)Nc2ccc(C(C(=O)O)c3ccccc3N)c(C)c2)CC1,-0.0,0.0,4.6,0
CN(C)CC(=O)c1ccc(C(Nc2ccccc2)C(=O)O)cc1N1CCOCC1,5.0,5.0,-5.0,0
CC(F)C(=O)C(C)Sc1cc(C#N)c(CC(=O)O)cc1N1CCCC1=O,6.0,6.0,-6.0,0
CN(Cc1ccc(C(C)(C)OC(=O)[O-])c(CC(=O)O)c1)C1CCC(=O)N1,7.5,7.5,-7.5,0
C=CCOc1cc(-c2ccoc2)c(C(=O)C=O)c(C(C(=O)O)C23CC4CC(CC(C4)C2)C3)c1,-0.0,0.0,0.4,0
CCSc1cccc(C(OC(F)C(N)=O)C(=O)O)c1S(=O)(=O)c1ccccc1,5.9,5.9,-5.9,0
COCCc1cc(C2CCc3cnn(C)c3C2)cc(CC(=O)O)c1-c1ccc2c(c1)OCC(C1=CC(C(=O)[O-])CC1)O2,-0.0,0.0,99.9,0
NS(=O)(=O)c1cc(CC(=O)O)c(S(=O)(=O)c2ccc(C3CCCO3)cc2)c(N2CCOCC2)c1,-0.0,0.0,3.5,0
CC(C=O)SOC(C)(C)c1ccc(C#N)c(CC(=O)O)c1C1CCCCCC1,3.9,3.9,-3.9,0
CNS(=O)(=O)c1ccc(-c2ccc3c(c2)CC[NH2+]C3)c(C(C(=O)O)c2cccc(Cl)c2)c1-c1ccc2cc[nH]c2c1,-0.0,0.0,23.8,0
O=C(O)Cc1cccc(C2CCC(O)C2)c1C(=NCl)c1ccc2c(c1)OCO2,7.0,7.0,-7.0,0
CCCNc1cc(C(C(=O)O)C(N)=S)c(NC(C)C)cc1-c1nccs1,5.3,5.3,-5.3,0
O=C(O)Cc1cc(Cl)cc(C2CCNCC2Cl)c1C=S,6.7,6.7,-6.7,0
CCC(N)C(=O)c1ccc(C)c(C(C(=O)O)S(C)(=O)=O)c1,6.7,6.7,-6.7,0
CC(c1cccc(C(C(=O)O)C2CC2)c1C#N)N1CC[NH+](c2c[nH]c3ccccc23)CC1,-0.0,0.0,2.1,0
CNCC1CS(=O)(=O)CC1c1c(NC(N)=O)cc(CC(=O)O)cc1N1CCOCC1,5.0,5.0,-5.0,0
Cc1ccc(N[SH](=O)=O)c(C2C=CC(C(=O)C#N)C2)c1CC(=O)O,7.4,7.4,-7.4,0
CC(C)Cc1cc(NC(N)=O)c(CN[SH](=O)=O)cc1C(CCN1CC[NH2+]CC1)C(=O)O,4.2,4.2,-4.2,0
C#Cc1cc(C2CCN([SH](=O)=O)CC2)c(CC(=O)O)c(CC(C)C)c1Cc1ccccn1,-0.0,0.0,10.8,0
CC(CN)c1cc(S(C)(=O)=O)c(CC(=O)O)cc1C1Cc2c(cnn2C)C(C(C)N2CC[NH2+]CC2)C1,-0.0,0.0,3.9,0
C#CC1CCCCC1c1c(NCCC)cc(CC(=O)O)cc1C1CCS(=O)(=O)C1,1.5,1.5,-1.5,0
CCC(C=O)NNc1ccccc1C(C(=O)O)c1ccc(NC=O)c(C2CCN([SH](=O)=O)CC2)c1,-0.0,0.0,-0.0,0
C#Cc1cc(CC(=O)O)c(-c2ccc3c(c2)CC[NH+](C2CCNCC2)C3)cc1C1CCS(=O)(=O)C1,-0.0,0.0,138.7,0
CC(C=O)Sc1cc(C=O)cc(CCN2CC[NH+](c3ccoc3)CC2)c1CC(=O)O,2.1,2.1,-2.1,0
CCC(Nc1ccoc1)C(=O)c1cc(CNC=O)c(Cc2ccccn2)c(CC(=O)O)c1,3.8,3.8,-3.8,0
O=C([O-])c1c(Cc2ccccn2)ccc(C2CCN([SH](=O)=O)CC2)c1C(C(=O)O)N1CCOCC1,-0.0,0.0,0.4,0
C=Cc1c(CC=O)ccc(C2CC2)c1C(COC)C(=O)O,8.0,8.0,-8.0,0
O=C(O)Cc1c(NCc2c[nH]c3ccccc23)cc(C2=CC(C(=O)[O-])CC2)cc1S(=O)c1c[nH]c2ccccc12,-0.0,0.0,2.8,0
CCOC(=O)C(C(=O)O)c1cc(CCN2CC[NH2+]CC2)c(C(=O)C(C)S)cc1COC,4.2,4.2,-4.2,0
